,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,DEL,BOM,08:00:00,2,02:10:00,10:10:00,2,G8334,G8,Go First,4589,,
1,DEL,BOM,10:55:00,2,02:15:00,13:10:00,2,G8338,G8,Go First,4589,,
2,DEL,BOM,19:45:00,2,02:15:00,22:00:00,2,G8346,G8,Go First,4589,,
3,DEL,BOM,20:50:00,2,02:15:00,23:05:00,2,G8330,G8,Go First,4589,,
4,DEL,BOM,07:20:00,5,02:15:00,09:35:00,5,SG8701,SG,SpiceJet,4813,,
5,DEL,BOM,19:45:00,5,02:15:00,22:00:00,5,SG8169,SG,SpiceJet,4882,,
6,DEL,BOM,19:45:00,6,02:15:00,22:00:00,6,SG8169,SG,SpiceJet,4882,,
7,DEL,BOM,21:40:00,2,02:15:00,23:55:00,2,SG711,SG,SpiceJet,4882,,
8,DEL,BOM,21:40:00,5,02:15:00,23:55:00,5,SG711,SG,SpiceJet,4882,,
9,DEL,BOM,07:20:00,4,02:15:00,09:35:00,4,SG8701,SG,SpiceJet,4882,,
10,DEL,BOM,21:40:00,6,02:15:00,23:55:00,6,SG711,SG,SpiceJet,4882,,
11,DEL,BOM,07:20:00,3,02:15:00,09:35:00,3,SG8701,SG,SpiceJet,4882,,
12,DEL,BOM,19:45:00,2,02:15:00,22:00:00,2,SG8169,SG,SpiceJet,4882,,
13,DEL,BOM,19:00:00,3,02:10:00,21:10:00,3,SG8709,SG,SpiceJet,4940,,
14,DEL,BOM,19:00:00,6,02:10:00,21:10:00,6,SG8709,SG,SpiceJet,4940,,
15,DEL,BOM,07:20:00,6,02:15:00,09:35:00,6,SG8701,SG,SpiceJet,4940,,
16,DEL,BOM,21:40:00,3,02:15:00,23:55:00,3,SG711,SG,SpiceJet,4940,,
17,DEL,BOM,19:45:00,3,02:15:00,22:00:00,3,SG8169,SG,SpiceJet,4940,,
18,DEL,BOM,20:50:00,4,02:15:00,23:05:00,4,G8330,G8,Go First,5054,,
19,DEL,BOM,14:30:00,1,02:10:00,16:40:00,1,G8336,G8,Go First,5055,,
20,DEL,BOM,14:30:00,4,02:10:00,16:40:00,4,G8336,G8,Go First,5055,,
21,DEL,BOM,22:45:00,4,02:15:00,01:00:00,5,G8354,G8,Go First,5055,,
22,DEL,BOM,18:20:00,6,02:15:00,20:35:00,6,G8323,G8,Go First,5055,,
23,DEL,BOM,20:50:00,1,02:15:00,23:05:00,1,G8330,G8,Go First,5055,,
24,DEL,BOM,20:50:00,5,02:15:00,23:05:00,5,G8330,G8,Go First,5055,,
25,DEL,BLR,06:05:00,1,02:50:00,08:55:00,1,SG191,SG,SpiceJet,6353,,
26,DEL,BLR,08:10:00,6,02:30:00,10:40:00,6,I5740,I5,AirAsia India,7026,,
27,DEL,BLR,08:10:00,5,02:30:00,10:40:00,5,I5740,I5,AirAsia India,7026,,
28,DEL,BLR,08:10:00,1,02:30:00,10:40:00,1,I5740,I5,AirAsia India,7026,,
29,DEL,BLR,21:40:00,0,02:50:00,00:30:00,1,I51732,I5,AirAsia India,7026,,
