index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,ATL,LAX,19:05:00,2,01:45:00,20:50:00,2,NK1301,NK,Spirit Airlines,20853,,
1,ATL,LAX,19:05:00,1,01:45:00,20:50:00,1,NK1301,NK,Spirit Airlines,23590,,
2,ATL,LAX,19:05:00,5,01:45:00,20:50:00,5,NK1301,NK,Spirit Airlines,23590,,
3,ATL,LAX,19:05:00,3,01:45:00,20:50:00,3,NK1301,NK,Spirit Airlines,23590,,
4,ATL,LAX,10:16:00,4,01:44:00,12:00:00,4,NK1301,NK,Spirit Airlines,32712,,
5,ATL,LAX,19:05:00,6,01:45:00,20:50:00,6,NK1301,NK,Spirit Airlines,32712,,
6,ATL,LAX,22:46:00,6,01:34:00,00:20:00,0,DL1137,DL,Delta Airlines,44537,62648,
7,ATL,LAX,20:53:00,6,01:36:00,22:29:00,6,DL2331,DL,Delta Airlines,44537,111792,
8,ATL,LAX,17:00:00,6,01:30:00,18:30:00,6,DL383,DL,Delta Airlines,45326,,
9,ATL,LAX,12:15:00,4,01:32:00,13:47:00,4,DL2066,DL,Delta Airlines,45326,,
10,ATL,LAX,11:07:00,6,01:33:00,12:40:00,6,DL515,DL,Delta Airlines,45326,,
11,ATL,LAX,22:46:00,4,01:34:00,00:20:00,5,DL1137,DL,Delta Airlines,45326,62648,
12,ATL,LAX,08:45:00,4,01:35:00,10:20:00,4,DL345,DL,Delta Airlines,45326,62648,
13,ATL,LAX,20:53:00,4,01:36:00,22:29:00,4,DL2331,DL,Delta Airlines,45326,62648,
14,ATL,LAX,20:53:00,5,01:36:00,22:29:00,5,DL2331,DL,Delta Airlines,45326,,
15,ATL,LAX,15:10:00,4,01:38:00,16:48:00,4,DL1678,DL,Delta Airlines,45326,,
16,ATL,LAX,17:50:00,5,01:40:00,19:30:00,5,DL2864,DL,Delta Airlines,45326,,
17,ATL,LAX,16:35:00,4,01:40:00,18:15:00,4,DL335,DL,Delta Airlines,45326,62648,
18,ATL,LAX,19:30:00,6,01:40:00,21:10:00,6,DL303,DL,Delta Airlines,45326,,
19,ATL,LAX,18:00:00,6,01:40:00,19:40:00,6,DL2864,DL,Delta Airlines,45326,115969,
20,ATL,LAX,17:50:00,4,01:40:00,19:30:00,4,DL2864,DL,Delta Airlines,45326,,
21,ATL,LAX,16:35:00,5,01:40:00,18:15:00,5,DL335,DL,Delta Airlines,45326,62648,
22,ATL,LAX,10:00:00,4,01:40:00,11:40:00,4,DL516,DL,Delta Airlines,45326,62648,
23,ATL,LAX,14:10:00,4,01:40:00,15:50:00,4,DL2284,DL,Delta Airlines,45326,,
24,ATL,LAX,14:10:00,6,01:40:00,15:50:00,6,DL2284,DL,Delta Airlines,45326,,
25,ATL,ORD,14:45:00,1,01:14:00,15:59:00,1,NK762,NK,Spirit Airlines,8748,,
26,ATL,ORD,14:45:00,5,01:14:00,15:59:00,5,NK762,NK,Spirit Airlines,8748,,
27,ATL,ORD,14:45:00,2,01:14:00,15:59:00,2,NK762,NK,Spirit Airlines,12154,,
28,ATL,ORD,14:45:00,3,01:14:00,15:59:00,3,NK762,NK,Spirit Airlines,14844,,
29,ATL,ORD,22:30:00,5,00:57:00,23:27:00,5,DL2976,DL,Delta Airlines,16402,20465,
30,ATL,ORD,19:59:00,5,01:09:00,21:08:00,5,DL1453,DL,Delta Airlines,16402,19616,
31,ATL,ORD,06:30:00,5,01:28:00,07:58:00,5,UA5284,UA,United Airlines,16413,21992,
32,ATL,ORD,08:00:00,5,01:14:00,09:14:00,5,AA2893,AA,American Airlines,16458,,
33,ATL,ORD,15:05:00,5,01:17:00,16:22:00,5,AA3266,AA,American Airlines,16458,,
34,ATL,ORD,18:24:00,5,01:21:00,19:45:00,5,AA3688,AA,American Airlines,16458,,
35,ATL,ORD,10:56:00,2,01:12:00,12:08:00,2,UA299,UA,United Airlines,17130,22672,
36,ATL,ORD,10:56:00,0,01:12:00,12:08:00,0,UA299,UA,United Airlines,17130,22672,
37,ATL,ORD,10:56:00,1,01:12:00,12:08:00,1,UA299,UA,United Airlines,17130,22672,
38,ATL,ORD,12:35:00,2,01:23:00,13:58:00,2,UA5339,UA,United Airlines,17130,22672,
39,ATL,ORD,12:40:00,0,01:23:00,14:03:00,0,UA5339,UA,United Airlines,17130,22672,
40,ATL,ORD,12:35:00,1,01:23:00,13:58:00,1,UA5339,UA,United Airlines,17130,22672,
41,ATL,ORD,06:30:00,2,01:28:00,07:58:00,2,UA5284,UA,United Airlines,17130,22672,
42,ATL,ORD,06:30:00,1,01:28:00,07:58:00,1,UA5284,UA,United Airlines,17130,22672,
43,ATL,ORD,22:30:00,1,00:57:00,23:27:00,1,DL2976,DL,Delta Airlines,17175,,
44,ATL,ORD,22:30:00,4,00:57:00,23:27:00,4,DL2976,DL,Delta Airlines,17175,,
45,ATL,ORD,07:15:00,6,01:00:00,08:15:00,6,DL2822,DL,Delta Airlines,17175,20465,
46,ATL,ORD,08:00:00,2,01:14:00,09:14:00,2,AA2893,AA,American Airlines,17175,,
47,ATL,ORD,08:00:00,1,01:14:00,09:14:00,1,AA2893,AA,American Airlines,17175,,
48,ATL,ORD,11:18:00,1,01:19:00,12:37:00,1,AA4541,AA,American Airlines,17175,,
49,ATL,ORD,08:00:00,3,01:14:00,09:14:00,3,AA2893,AA,American Airlines,17369,,
50,ATL,LHR,19:20:00,2,13:20:00,08:40:00,3,VS104,VS,Virgin Atlantic,103422,224440,544379
51,ATL,LHR,17:45:00,2,13:20:00,07:05:00,3,VS4044,VS,Virgin Atlantic,103422,,
52,ATL,LHR,17:45:00,1,13:20:00,07:05:00,2,VS4044,VS,Virgin Atlantic,103422,,
53,ATL,LHR,19:20:00,6,13:20:00,08:40:00,0,VS104,VS,Virgin Atlantic,103422,226226,
54,ATL,LHR,19:20:00,1,13:20:00,08:40:00,2,VS104,VS,Virgin Atlantic,103422,226226,
55,ATL,LHR,17:45:00,6,13:20:00,07:05:00,0,VS4044,VS,Virgin Atlantic,103422,,
56,ATL,LHR,19:20:00,0,13:20:00,08:40:00,1,VS104,VS,Virgin Atlantic,103422,222552,
57,ATL,LHR,19:20:00,5,13:20:00,08:40:00,6,VS104,VS,Virgin Atlantic,108801,230513,
58,ATL,LHR,17:45:00,3,13:20:00,07:05:00,4,VS4044,VS,Virgin Atlantic,108801,228683,
59,ATL,LHR,17:45:00,5,13:20:00,07:05:00,6,VS4044,VS,Virgin Atlantic,108801,,
60,ATL,LHR,19:20:00,3,13:20:00,08:40:00,4,VS104,VS,Virgin Atlantic,108801,228683,
61,ATL,LHR,17:45:00,0,13:20:00,07:05:00,1,VS4044,VS,Virgin Atlantic,114178,,
62,ATL,LHR,19:20:00,4,13:20:00,08:40:00,5,VS104,VS,Virgin Atlantic,119557,228683,781949
63,ATL,LHR,21:50:00,5,13:20:00,11:10:00,6,DL32,DL,Delta Airlines,159741,,
64,ATL,LHR,19:20:00,5,13:20:00,08:40:00,6,DL5998,DL,Delta Airlines,159741,230513,
65,ATL,LHR,17:45:00,5,13:20:00,07:05:00,6,DL30,DL,Delta Airlines,159741,,
66,ATL,LHR,19:20:00,0,13:20:00,08:40:00,1,DL5998,DL,Delta Airlines,160772,,661553
67,ATL,LHR,17:45:00,1,13:20:00,07:05:00,2,DL30,DL,Delta Airlines,160772,,787109
68,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,DL32,DL,Delta Airlines,160772,,644153
69,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,DL32,DL,Delta Airlines,160772,,648397
70,ATL,LHR,19:20:00,1,13:20:00,08:40:00,2,DL5998,DL,Delta Airlines,160772,226226,
71,ATL,LHR,17:45:00,0,13:20:00,07:05:00,1,DL30,DL,Delta Airlines,160772,,648397
72,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,VS4010,VS,Virgin Atlantic,161327,,
73,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,VS4010,VS,Virgin Atlantic,161327,,
74,ATL,LHR,19:20:00,6,13:20:00,08:40:00,0,DL5998,DL,Delta Airlines,161327,226226,
75,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,VS3993,VS,Virgin Atlantic,104234,243873,
76,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,VS3993,VS,Virgin Atlantic,107990,243873,
77,ATL,CDG,22:05:00,2,14:15:00,12:20:00,3,VS3993,VS,Virgin Atlantic,107990,244810,
78,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,VS3993,VS,Virgin Atlantic,107990,,625056
79,ATL,CDG,15:30:00,0,14:40:00,06:10:00,1,VS3970,VS,Virgin Atlantic,107990,,625056
80,ATL,CDG,15:30:00,2,14:40:00,06:10:00,3,VS3970,VS,Virgin Atlantic,107990,,625056
81,ATL,CDG,15:30:00,1,14:40:00,06:10:00,2,VS3970,VS,Virgin Atlantic,107990,243873,
82,ATL,CDG,15:30:00,6,14:40:00,06:10:00,0,VS3970,VS,Virgin Atlantic,107990,243873,
83,ATL,CDG,22:05:00,5,14:15:00,12:20:00,6,VS3993,VS,Virgin Atlantic,113462,248104,
84,ATL,CDG,22:05:00,3,14:15:00,12:20:00,4,VS3993,VS,Virgin Atlantic,113462,249054,
85,ATL,CDG,15:30:00,5,14:40:00,06:10:00,6,VS3970,VS,Virgin Atlantic,113462,,
86,ATL,CDG,15:30:00,3,14:40:00,06:10:00,4,VS3970,VS,Virgin Atlantic,113462,,
87,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,DL84,DL,Delta Airlines,160536,243873,
88,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,DL8672,DL,Delta Airlines,160536,243873,661763
89,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,AF689,AF,Air France,161330,,662972
90,ATL,CDG,16:35:00,6,14:30:00,07:05:00,0,DL8517,DL,Delta Airlines,166322,243873,661763
91,ATL,CDG,15:30:00,6,14:40:00,06:10:00,0,DL82,DL,Delta Airlines,166322,243873,
92,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,DL84,DL,Delta Airlines,166463,243873,
93,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,DL84,DL,Delta Airlines,166463,,
94,ATL,CDG,16:35:00,1,14:30:00,07:05:00,2,DL8517,DL,Delta Airlines,166463,243873,
95,ATL,CDG,20:05:00,2,14:30:00,10:35:00,3,DL8672,DL,Delta Airlines,166463,244810,620812
96,ATL,CDG,16:35:00,0,14:30:00,07:05:00,1,DL8517,DL,Delta Airlines,166463,,
97,ATL,CDG,16:35:00,2,14:30:00,07:05:00,3,DL8517,DL,Delta Airlines,166463,244810,620812
98,ATL,CDG,15:30:00,0,14:40:00,06:10:00,1,DL82,DL,Delta Airlines,166463,,
99,ATL,CDG,15:30:00,1,14:40:00,06:10:00,2,DL82,DL,Delta Airlines,166463,243873,
100,ATL,AMS,20:15:00,1,14:20:00,10:35:00,2,VS3948,VS,Virgin Atlantic,106112,219544,
101,ATL,AMS,20:15:00,6,14:20:00,10:35:00,0,VS3948,VS,Virgin Atlantic,106112,226253,625056
102,ATL,AMS,15:20:00,1,14:35:00,05:55:00,2,VS4054,VS,Virgin Atlantic,106112,219544,
